utc_date_time,latitude,longitude,geometry,pm2_5_cf_1,pm10_0_cf_1,pm2_5_atm,pm10_0_atm,pm2_5_cf_1_b,pm10_0_cf_1_b,pm2_5_atm_b,pm10_0_atm_b,pm25_aqi_cf_1,pm25_aqi_atm,pm25_aqi_cf_1_b,pm25_aqi_atm_b,temperature,relative_humidity,calculated_heat_index,wet_bulb_temp,wind_speed
2025-10-03 22:30:18+00:00,33.76874066272189,-84.39853860946745,POINT (-84.39853860946745 33.76874066272189),4.0,5.0,4.0,5.0,8.0,9.0,8.0,9.0,17.0,17.0,33.0,33.0,24.66666666666667,48.0,24.55444444444445,17.22222222222222,0.0
2025-10-03 22:30:19+00:00,33.76874847337278,-84.39854186390532,POINT (-84.39854186390532 33.76874847337278),4.0,5.0,4.0,5.0,8.0,9.0,8.0,9.0,17.0,17.0,33.0,33.0,24.66666666666667,48.0,24.55444444444445,17.22222222222222,0.0
2025-10-03 22:30:20+00:00,33.76875493491124,-84.39854455621301,POINT (-84.39854455621301 33.76875493491124),4.0,5.0,4.0,5.0,8.0,9.0,8.0,9.0,17.0,17.0,33.0,33.0,24.66666666666667,48.0,24.55444444444445,17.22222222222222,0.0
2025-10-03 22:30:21+00:00,33.768763455621304,-84.39854810650887,POINT (-84.39854810650887 33.768763455621304),4.0,5.0,4.0,5.0,8.0,9.0,8.0,9.0,17.0,17.0,33.0,33.0,24.66666666666667,48.0,24.55444444444445,17.22222222222222,0.0
2025-10-03 22:30:22+00:00,33.76877233136095,-84.39855180473373,POINT (-84.39855180473373 33.76877233136095),4.0,5.0,4.0,5.0,8.0,9.0,8.0,9.0,17.0,17.0,33.0,33.0,24.66666666666667,48.0,24.55444444444445,17.22222222222222,0.0
2025-10-03 22:30:23+00:00,33.76878255621302,-84.39855606508875,POINT (-84.39855606508875 33.76878255621302),6.0,6.0,6.0,6.0,5.0,5.0,5.0,5.0,25.0,25.0,21.0,21.0,24.66666666666667,48.0,24.55444444444445,17.22222222222222,0.0
2025-10-03 22:30:24+00:00,33.768793775147934,-84.39856073964496,POINT (-84.39856073964496 33.768793775147934),6.0,6.0,6.0,6.0,5.0,5.0,5.0,5.0,25.0,25.0,21.0,21.0,24.66666666666667,48.0,24.55444444444445,17.22222222222222,0.0
2025-10-03 22:30:25+00:00,33.768805846153846,-84.39856576923077,POINT (-84.39856576923077 33.768805846153846),6.0,6.0,6.0,6.0,5.0,5.0,5.0,5.0,25.0,25.0,21.0,21.0,24.66666666666667,48.0,24.55444444444445,17.22222222222222,0.0
2025-10-03 22:30:26+00:00,33.76881876923077,-84.39857115384615,POINT (-84.39857115384615 33.76881876923077),6.0,6.0,6.0,6.0,5.0,5.0,5.0,5.0,25.0,25.0,21.0,21.0,24.66666666666667,48.0,24.55444444444445,17.22222222222222,0.0
2025-10-03 22:30:27+00:00,33.76883218934912,-84.39857674556212,POINT (-84.39857674556212 33.76883218934912),6.0,6.0,6.0,6.0,5.0,5.0,5.0,5.0,25.0,25.0,21.0,21.0,24.66666666666667,48.0,24.55444444444445,17.22222222222222,0.0
